"","fiscal_period","region_product","sales_vol","year","month","apac","emea","la","na","fchem","fpoly","fchem_product","fpoly_product","pfa","region_code","region","value_to_USD","demand","oil_price","GDP","smi_avg","smi_std"
"31","2018P01","sales_vol_fchem_apac",5216316.37,2018,1,"1","0","0","0",1,0,5216316.37,0,"0","[1,0,0]","apac",110.932,NA,46.13,25153.18537,1341.99095238095,31.0146020294896
"32","2018P02","sales_vol_fchem_apac",4341497.27,2018,2,"1","0","0","0",1,0,4341497.27,0,"0","[1,0,0]","apac",107.93567,NA,42.64,25153.18537,1313.36210526316,42.200207158384
"33","2018P03","sales_vol_fchem_apac",5241134.37,2018,3,"1","0","0","0",1,0,5241134.37,0,"0","[1,0,0]","apac",106.030217,NA,41.85,25153.18537,1386.32904761905,38.5581993750696
"34","2018P04","sales_vol_fchem_apac",4354983.39,2018,4,"1","0","0","0",1,0,4354983.39,0,"0","[1,0,0]","apac",107.59585,NA,46.3,25153.18537,1295.71,32.1875216504781
"35","2018P05","sales_vol_fchem_apac",5726562.89,2018,5,"1","0","0","0",1,0,5726562.89,0,"0","[1,0,0]","apac",109.664452,NA,51.45,25153.18537,1341.47227272727,43.7069303572719
"36","2018P06","sales_vol_fchem_apac",4787121.67,2018,6,"1","0","0","0",1,0,4787121.67,0,"0","[1,0,0]","apac",110.0477,NA,50.95,25153.18537,1389.08142857143,40.7761580198177
"37","2018P07","sales_vol_fchem_apac",5969677.54,2018,7,"1","0","0","0",1,0,5969677.54,0,"0","[1,0,0]","apac",111.431677,NA,51.29,25153.18537,1350.28571428571,19.1859551681506
"38","2018P08","sales_vol_fchem_apac",7221725.85,2018,8,"1","0","0","0",1,0,7221725.85,0,"0","[1,0,0]","apac",111.006984,NA,50.74,25153.18537,1368.66304347826,26.8979465986773
"39","2018P09","sales_vol_fchem_apac",4591177.15,2018,9,"1","0","0","0",1,0,4591177.15,0,"0","[1,0,0]","apac",112.0468,NA,54.49,25153.18537,1372.31842105263,15.8691777645843
"40","2018P10","sales_vol_fchem_apac",5324822.28,2018,10,"1","0","0","0",1,0,5324822.28,0,"0","[1,0,0]","apac",112.710935,NA,56.4,25153.18537,1257.22739130435,71.1182372862514
"41","2018P11","sales_vol_fchem_apac",6365326.65,2018,11,"1","0","0","0",1,0,6365326.65,0,"0","[1,0,0]","apac",113.2999,NA,46.7,25153.18537,1212.8180952381,24.730919638996
"42","2018P12","sales_vol_fchem_apac",6336002.43,2018,12,"1","0","0","0",1,0,6336002.43,0,"0","[1,0,0]","apac",112.116258,NA,40.48,25153.18537,1167.34789473684,45.9836124890581
"43","2015P07","sales_vol_fchem_emea",3143354,2015,7,"0","1","0","0",1,0,3143354,0,"0","[0,1,0]","emea",0.908471,13.32,56.56,19881,660.795454545455,12.6246454838571
"44","2015P08","sales_vol_fchem_emea",2888796,2015,8,"0","1","0","0",1,0,2888796,0,"0","[0,1,0]","emea",0.898781,13.32,46.52,19881,619.077619047619,25.8398142223898
"45","2015P09","sales_vol_fchem_emea",2820574,2015,9,"0","1","0","0",1,0,2820574,0,"0","[0,1,0]","emea",0.889836,13.32,47.62,19881,605.460952380952,14.1203986858594
"46","2015P10","sales_vol_fchem_emea",2371053,2015,10,"0","1","0","0",1,0,2371053,0,"0","[0,1,0]","emea",0.890691,13.32,48.43,19881,643.825454545455,24.0925945404041
"47","2015P11","sales_vol_fchem_emea",2681799,2015,11,"0","1","0","0",1,0,2681799,0,"0","[0,1,0]","emea",0.931522,13.32,44.27,19881,662.7245,7.80557997103422
"48","2015P12","sales_vol_fchem_emea",2409463,2015,12,"0","1","0","0",1,0,2409463,0,"0","[0,1,0]","emea",0.91807,13.32,38.01,19881,672.488181818182,8.93516628478712
"49","2016P01","sales_vol_fchem_emea",4233448,2016,1,"0","1","0","0",1,0,4233448,0,"0","[0,1,0]","emea",0.920897,13.96,30.7,19945.747,602.928421052632,22.5803907709415
"50","2016P02","sales_vol_fchem_emea",3737891,2016,2,"0","1","0","0",1,0,3737891,0,"0","[0,1,0]","emea",0.900873,13.96,32.18,19945.747,596.7805,20.2187402582747
"51","2016P03","sales_vol_fchem_emea",4334659,2016,3,"0","1","0","0",1,0,4334659,0,"0","[0,1,0]","emea",0.89946,13.96,38.21,19945.747,658.052272727273,13.591735910653
"52","2016P04","sales_vol_fchem_emea",4505880,2016,4,"0","1","0","0",1,0,4505880,0,"0","[0,1,0]","emea",0.88188,13.96,41.58,19945.747,671.662380952381,5.93780338573273
"53","2016P05","sales_vol_fchem_emea",2886851,2016,5,"0","1","0","0",1,0,2886851,0,"0","[0,1,0]","emea",0.88437,13.96,46.74,19945.747,654.551904761905,22.1926633415297
"54","2016P06","sales_vol_fchem_emea",3762079,2016,6,"0","1","0","0",1,0,3762079,0,"0","[0,1,0]","emea",0.889375,13.96,48.25,19945.747,694.69,14.7182047947755
"55","2016P07","sales_vol_fchem_emea",2903878,2016,7,"0","1","0","0",1,0,2903878,0,"0","[0,1,0]","emea",0.904111,13.96,44.95,19945.747,725.4515,32.5559357147534
"56","2016P08","sales_vol_fchem_emea",3337820,2016,8,"0","1","0","0",1,0,3337820,0,"0","[0,1,0]","emea",0.89262,13.96,45.84,19945.747,784.219130434783,15.2831972241185
"57","2016P09","sales_vol_fchem_emea",4099272,2016,9,"0","1","0","0",1,0,4099272,0,"0","[0,1,0]","emea",0.892636,13.96,46.57,19945.747,801.167142857143,14.38694308839
"58","2016P10","sales_vol_fchem_emea",2263819,2016,10,"0","1","0","0",1,0,2263819,0,"0","[0,1,0]","emea",0.906425,13.96,49.52,19945.747,822.136666666667,10.8359034387232
"59","2016P11","sales_vol_fchem_emea",2201966,2016,11,"0","1","0","0",1,0,2201966,0,"0","[0,1,0]","emea",0.92746,13.96,44.73,19945.747,848.376666666667,31.5619418498503
"60","2016P12","sales_vol_fchem_emea",1988988,2016,12,"0","1","0","0",1,0,1988988,0,"0","[0,1,0]","emea",0.949012,13.96,53.31,19945.747,898.417142857143,26.4650768264249
"61","2017P01","sales_vol_fchem_emea",2420626,2017,1,"0","1","0","0",1,0,2420626,0,"0","[0,1,0]","emea",0.940876,14.2,54.58,20906.872,926.8525,17.3312221681596
"62","2017P02","sales_vol_fchem_emea",3391276,2017,2,"0","1","0","0",1,0,3391276,0,"0","[0,1,0]","emea",0.939114,14.2,54.87,20906.872,969.751052631579,8.79664196961093
"63","2017P03","sales_vol_fchem_emea",3819750,2017,3,"0","1","0","0",1,0,3819750,0,"0","[0,1,0]","emea",0.9351,14.2,51.59,20906.872,994.59,13.2156302088921
"64","2017P04","sales_vol_fchem_emea",3118619,2017,4,"0","1","0","0",1,0,3118619,0,"0","[0,1,0]","emea",0.93391,14.2,52.31,20906.872,993.981052631579,16.5475868985101
"65","2017P05","sales_vol_fchem_emea",3888428,2017,5,"0","1","0","0",1,0,3888428,0,"0","[0,1,0]","emea",0.904193,14.2,50.33,20906.872,1045.63181818182,30.2911723171343
"66","2017P06","sales_vol_fchem_emea",5803827,2017,6,"0","1","0","0",1,0,5803827,0,"0","[0,1,0]","emea",0.890534,14.2,46.37,20906.872,1085.08545454545,22.4222316818169
"67","2017P07","sales_vol_fchem_emea",5426000,2017,7,"0","1","0","0",1,0,5426000,0,"0","[0,1,0]","emea",0.867527,14.2,48.48,20906.872,1085.188,27.4927800282949
"68","2017P08","sales_vol_fchem_emea",3369901,2017,8,"0","1","0","0",1,0,3369901,0,"0","[0,1,0]","emea",0.846339,14.2,51.7,20906.872,1084.53565217391,11.0682296466003
"69","2017P09","sales_vol_fchem_emea",4508373,2017,9,"0","1","0","0",1,0,4508373,0,"0","[0,1,0]","emea",0.839493,14.2,56.15,20906.872,1132.5295,21.256843226297
"70","2017P10","sales_vol_fchem_emea",3401491,2017,10,"0","1","0","0",1,0,3401491,0,"0","[0,1,0]","emea",0.851139,14.2,57.51,20906.872,1218.88954545455,26.7582783767624
"71","2017P11","sales_vol_fchem_emea",4280259,2017,11,"0","1","0","0",1,0,4280259,0,"0","[0,1,0]","emea",0.851487,14.2,62.71,20906.872,1306.37714285714,19.5550456769748
"72","2017P12","sales_vol_fchem_emea",2788007,2017,12,"0","1","0","0",1,0,2788007,0,"0","[0,1,0]","emea",0.84425,14.2,64.37,20906.872,1253.1165,17.4883212985725
"73","2018P01","sales_vol_fchem_emea",2873611,2018,1,"0","1","0","0",1,0,2873611,0,"0","[0,1,0]","emea",0.819901,NA,69.08,22377.16234,1341.99095238095,31.0146020294896
"74","2018P02","sales_vol_fchem_emea",3118476,2018,2,"0","1","0","0",1,0,3118476,0,"0","[0,1,0]","emea",0.810022,NA,65.32,22377.16234,1313.36210526316,42.200207158384
"75","2018P03","sales_vol_fchem_emea",3702515,2018,3,"0","1","0","0",1,0,3702515,0,"0","[0,1,0]","emea",0.811046,NA,66.02,22377.16234,1386.32904761905,38.5581993750696
"76","2018P04","sales_vol_fchem_emea",2128562,2018,4,"0","1","0","0",1,0,2128562,0,"0","[0,1,0]","emea",0.814554,NA,72.11,22377.16234,1295.71,32.1875216504781
"77","2018P05","sales_vol_fchem_emea",3232055,2018,5,"0","1","0","0",1,0,3232055,0,"0","[0,1,0]","emea",0.845653,NA,76.98,22377.16234,1341.47227272727,43.7069303572719
"78","2018P06","sales_vol_fchem_emea",3324315,2018,6,"0","1","0","0",1,0,3324315,0,"0","[0,1,0]","emea",0.856183,NA,74.4,22377.16234,1389.08142857143,40.7761580198177
"79","2018P07","sales_vol_fchem_emea",3144467,2018,7,"0","1","0","0",1,0,3144467,0,"0","[0,1,0]","emea",0.855282,NA,74.25,22377.16234,1350.28571428571,19.1859551681506
"80","2018P08","sales_vol_fchem_emea",2357761,2018,8,"0","1","0","0",1,0,2357761,0,"0","[0,1,0]","emea",0.866686,NA,72.53,22377.16234,1368.66304347826,26.8979465986773
"81","2018P09","sales_vol_fchem_emea",4090581,2018,9,"0","1","0","0",1,0,4090581,0,"0","[0,1,0]","emea",0.857968,NA,78.89,22377.16234,1372.31842105263,15.8691777645843
"82","2018P10","sales_vol_fchem_emea",2697921,2018,10,"0","1","0","0",1,0,2697921,0,"0","[0,1,0]","emea",0.870075,NA,81.03,22377.16234,1257.22739130435,71.1182372862514
"83","2018P11","sales_vol_fchem_emea",3002251,2018,11,"0","1","0","0",1,0,3002251,0,"0","[0,1,0]","emea",0.879906,NA,64.75,22377.16234,1212.8180952381,24.730919638996
"84","2018P12","sales_vol_fchem_emea",2547322,2018,12,"0","1","0","0",1,0,2547322,0,"0","[0,1,0]","emea",0.879002,NA,57.36,22377.16234,1167.34789473684,45.9836124890581
"85","2015P07","sales_vol_fchem_la",4722774,2015,7,"0","0","1","0",1,0,4722774,0,"0","[0,0,1]","la",15.924197,7.32,3.038,5517,660.795454545455,12.6246454838571
"86","2015P08","sales_vol_fchem_la",4102013,2015,8,"0","0","1","0",1,0,4102013,0,"0","[0,0,1]","la",16.501674,7.32,3.23,5517,619.077619047619,25.8398142223898
"87","2015P09","sales_vol_fchem_la",4572792,2015,9,"0","0","1","0",1,0,4572792,0,"0","[0,0,1]","la",16.839714,7.32,2.979,5517,605.460952380952,14.1203986858594
"88","2015P10","sales_vol_fchem_la",4964904,2015,10,"0","0","1","0",1,0,4964904,0,"0","[0,0,1]","la",16.571246,7.32,3.068,5517,643.825454545455,24.0925945404041
"89","2015P11","sales_vol_fchem_la",5511364,2015,11,"0","0","1","0",1,0,5511364,0,"0","[0,0,1]","la",16.63311,7.32,2.798,5517,662.7245,7.80557997103422
"90","2015P12","sales_vol_fchem_la",5017523,2015,12,"0","0","1","0",1,0,5017523,0,"0","[0,0,1]","la",17.068297,7.32,2.493,5517,672.488181818182,8.93516628478712
"91","2016P01","sales_vol_fchem_la",3928135,2016,1,"0","0","1","0",1,0,3928135,0,"0","[0,0,1]","la",17.998914,6.47,2.286,5381,602.928421052632,22.5803907709415
"92","2016P02","sales_vol_fchem_la",4319780,2016,2,"0","0","1","0",1,0,4319780,0,"0","[0,0,1]","la",18.463555,6.47,2.321,5381,596.7805,20.2187402582747
"93","2016P03","sales_vol_fchem_la",5756144,2016,3,"0","0","1","0",1,0,5756144,0,"0","[0,0,1]","la",17.64969,6.47,2.572,5381,658.052272727273,13.591735910653
"94","2016P04","sales_vol_fchem_la",5237917,2016,4,"0","0","1","0",1,0,5237917,0,"0","[0,0,1]","la",17.489131,6.47,3.035,5381,671.662380952381,5.93780338573273
"95","2016P05","sales_vol_fchem_la",3546183,2016,5,"0","0","1","0",1,0,3546183,0,"0","[0,0,1]","la",18.094523,6.47,3.333,5381,654.551904761905,22.1926633415297
"96","2016P06","sales_vol_fchem_la",4927136,2016,6,"0","0","1","0",1,0,4927136,0,"0","[0,0,1]","la",18.683862,6.47,3.304,5381,694.69,14.7182047947755
"97","2016P07","sales_vol_fchem_la",2963667,2016,7,"0","0","1","0",1,0,2963667,0,"0","[0,0,1]","la",18.574292,6.47,2.782,5381,725.4515,32.5559357147534
"98","2016P08","sales_vol_fchem_la",3715040,2016,8,"0","0","1","0",1,0,3715040,0,"0","[0,0,1]","la",18.473874,6.47,3.003,5381,784.219130434783,15.2831972241185
"99","2016P09","sales_vol_fchem_la",3849121,2016,9,"0","0","1","0",1,0,3849121,0,"0","[0,0,1]","la",19.207967,6.47,3.212,5381,801.167142857143,14.38694308839
"100","2016P10","sales_vol_fchem_la",3854187,2016,10,"0","0","1","0",1,0,3854187,0,"0","[0,0,1]","la",18.935282,6.47,3.153,5381,822.136666666667,10.8359034387232
"101","2016P11","sales_vol_fchem_la",2971955,2016,11,"0","0","1","0",1,0,2971955,0,"0","[0,0,1]","la",20.130578,6.47,3.377,5381,848.376666666667,31.5619418498503
"102","2016P12","sales_vol_fchem_la",3428773,2016,12,"0","0","1","0",1,0,3428773,0,"0","[0,0,1]","la",20.518796,6.47,3.65,5381,898.417142857143,26.4650768264249
"103","2017P01","sales_vol_fchem_la",3297521,2017,1,"0","0","1","0",1,0,3297521,0,"0","[0,0,1]","la",21.34594,6.77,3.614,5974,926.8525,17.3312221681596
"104","2017P02","sales_vol_fchem_la",4208081,2017,2,"0","0","1","0",1,0,4208081,0,"0","[0,0,1]","la",20.291954,6.77,3.566,5974,969.751052631579,8.79664196961093
"105","2017P03","sales_vol_fchem_la",5317149,2017,3,"0","0","1","0",1,0,5317149,0,"0","[0,0,1]","la",19.272258,6.77,3.284,5974,994.59,13.2156302088921
"106","2017P04","sales_vol_fchem_la",4960412,2017,4,"0","0","1","0",1,0,4960412,0,"0","[0,0,1]","la",18.742298,6.77,3.174,5974,993.981052631579,16.5475868985101
"107","2017P05","sales_vol_fchem_la",4636532,2017,5,"0","0","1","0",1,0,4636532,0,"0","[0,0,1]","la",18.758285,6.77,3.127,5974,1045.63181818182,30.2911723171343
"108","2017P06","sales_vol_fchem_la",4534171,2017,6,"0","0","1","0",1,0,4534171,0,"0","[0,0,1]","la",18.151448,6.77,2.968,5974,1085.08545454545,22.4222316818169
"109","2017P07","sales_vol_fchem_la",5937228,2017,7,"0","0","1","0",1,0,5937228,0,"0","[0,0,1]","la",17.82685,6.77,3.183,5974,1085.188,27.4927800282949
"110","2017P08","sales_vol_fchem_la",3843963,2017,8,"0","0","1","0",1,0,3843963,0,"0","[0,0,1]","la",17.792492,6.77,3.038,5974,1084.53565217391,11.0682296466003
"111","2017P09","sales_vol_fchem_la",4481570,2017,9,"0","0","1","0",1,0,4481570,0,"0","[0,0,1]","la",17.819439,6.77,3.373,5974,1132.5295,21.256843226297
"112","2017P10","sales_vol_fchem_la",4527819,2017,10,"0","0","1","0",1,0,4527819,0,"0","[0,0,1]","la",18.820464,6.77,3.528,5974,1218.88954545455,26.7582783767624
"113","2017P11","sales_vol_fchem_la",4190993,2017,11,"0","0","1","0",1,0,4190993,0,"0","[0,0,1]","la",18.929347,6.77,3.687,5974,1306.37714285714,19.5550456769748
"114","2017P12","sales_vol_fchem_la",4554853,2017,12,"0","0","1","0",1,0,4554853,0,"0","[0,0,1]","la",19.218886,6.77,3.85,5974,1253.1165,17.4883212985725
"115","2018P01","sales_vol_fchem_la",3728216,2018,1,"0","0","1","0",1,0,3728216,0,"0","[0,0,1]","la",18.912,NA,4.112,6213.008674,1341.99095238095,31.0146020294896
"116","2018P02","sales_vol_fchem_la",3043017,2018,2,"0","0","1","0",1,0,3043017,0,"0","[0,0,1]","la",18.628392,NA,4.093,6213.008674,1313.36210526316,42.200207158384
"117","2018P03","sales_vol_fchem_la",4599237,2018,3,"0","0","1","0",1,0,4599237,0,"0","[0,0,1]","la",18.606821,NA,4.234,6213.008674,1386.32904761905,38.5581993750696
"118","2018P04","sales_vol_fchem_la",2671027,2018,4,"0","0","1","0",1,0,2671027,0,"0","[0,0,1]","la",18.376834,NA,4.583,6213.008674,1295.71,32.1875216504781
"119","2018P05","sales_vol_fchem_la",2522142,2018,5,"0","0","1","0",1,0,2522142,0,"0","[0,0,1]","la",19.544041,NA,4.517,6213.008674,1341.47227272727,43.7069303572719
"120","2018P06","sales_vol_fchem_la",3860080,2018,6,"0","0","1","0",1,0,3860080,0,"0","[0,0,1]","la",20.265505,NA,5.086,6213.008674,1389.08142857143,40.7761580198177
"121","2018P07","sales_vol_fchem_la",3855253,2018,7,"0","0","1","0",1,0,3855253,0,"0","[0,0,1]","la",19.00465,NA,4.734,6213.008674,1350.28571428571,19.1859551681506
"122","2018P08","sales_vol_fchem_la",4671643,2018,8,"0","0","1","0",1,0,4671643,0,"0","[0,0,1]","la",18.850329,NA,4.959,6213.008674,1368.66304347826,26.8979465986773
"123","2018P09","sales_vol_fchem_la",5696736,2018,9,"0","0","1","0",1,0,5696736,0,"0","[0,0,1]","la",18.994119,NA,5.335,6213.008674,1372.31842105263,15.8691777645843
"124","2018P10","sales_vol_fchem_la",5755991,2018,10,"0","0","1","0",1,0,5755991,0,"0","[0,0,1]","la",19.170876,NA,4.892,6213.008674,1257.22739130435,71.1182372862514
"125","2018P11","sales_vol_fchem_la",5611084,2018,11,"0","0","1","0",1,0,5611084,0,"0","[0,0,1]","la",20.236124,NA,3.576,6213.008674,1212.8180952381,24.730919638996
"126","2018P12","sales_vol_fchem_la",3646712,2018,12,"0","0","1","0",1,0,3646712,0,"0","[0,0,1]","la",20.097902,NA,3.17,6213.008674,1167.34789473684,45.9836124890581
"127","2015P07","sales_vol_fchem_na",6867356,2015,7,"0","0","0","1",1,0,6867356,0,"0","[0,0,0]","na",1,14.35,47.12,19686,660.795454545455,12.6246454838571
"128","2015P08","sales_vol_fchem_na",4315282,2015,8,"0","0","0","1",1,0,4315282,0,"0","[0,0,0]","na",1,14.35,49.2,19686,619.077619047619,25.8398142223898
"129","2015P09","sales_vol_fchem_na",7747811,2015,9,"0","0","0","1",1,0,7747811,0,"0","[0,0,0]","na",1,14.35,45.09,19686,605.460952380952,14.1203986858594
"130","2015P10","sales_vol_fchem_na",4031691,2015,10,"0","0","0","1",1,0,4031691,0,"0","[0,0,0]","na",1,14.35,46.59,19686,643.825454545455,24.0925945404041
"131","2015P11","sales_vol_fchem_na",5384748,2015,11,"0","0","0","1",1,0,5384748,0,"0","[0,0,0]","na",1,14.35,41.65,19686,662.7245,7.80557997103422
"132","2015P12","sales_vol_fchem_na",8557174,2015,12,"0","0","0","1",1,0,8557174,0,"0","[0,0,0]","na",1,14.35,37.04,19686,672.488181818182,8.93516628478712
"133","2016P01","sales_vol_fchem_na",6144116,2016,1,"0","0","0","1",1,0,6144116,0,"0","[0,0,0]","na",1,14.6,33.62,20166,602.928421052632,22.5803907709415
"134","2016P02","sales_vol_fchem_na",10521236,2016,2,"0","0","0","1",1,0,10521236,0,"0","[0,0,0]","na",1,14.6,33.75,20166,596.7805,20.2187402582747
"135","2016P03","sales_vol_fchem_na",14423612,2016,3,"0","0","0","1",1,0,14423612,0,"0","[0,0,0]","na",1,14.6,38.34,20166,658.052272727273,13.591735910653
"136","2016P04","sales_vol_fchem_na",9338624,2016,4,"0","0","0","1",1,0,9338624,0,"0","[0,0,0]","na",1,14.6,45.92,20166,671.662380952381,5.93780338573273
"137","2016P05","sales_vol_fchem_na",10931032,2016,5,"0","0","0","1",1,0,10931032,0,"0","[0,0,0]","na",1,14.6,49.1,20166,654.551904761905,22.1926633415297
"138","2016P06","sales_vol_fchem_na",9323319,2016,6,"0","0","0","1",1,0,9323319,0,"0","[0,0,0]","na",1,14.6,48.33,20166,694.69,14.7182047947755
"139","2016P07","sales_vol_fchem_na",8417281,2016,7,"0","0","0","1",1,0,8417281,0,"0","[0,0,0]","na",1,14.6,41.6,20166,725.4515,32.5559357147534
"140","2016P08","sales_vol_fchem_na",20493147,2016,8,"0","0","0","1",1,0,20493147,0,"0","[0,0,0]","na",1,14.6,44.7,20166,784.219130434783,15.2831972241185
"141","2016P09","sales_vol_fchem_na",16174107,2016,9,"0","0","0","1",1,0,16174107,0,"0","[0,0,0]","na",1,14.6,48.24,20166,801.167142857143,14.38694308839
"142","2016P10","sales_vol_fchem_na",5717675,2016,10,"0","0","0","1",1,0,5717675,0,"0","[0,0,0]","na",1,14.6,46.86,20166,822.136666666667,10.8359034387232
"143","2016P11","sales_vol_fchem_na",8200337,2016,11,"0","0","0","1",1,0,8200337,0,"0","[0,0,0]","na",1,14.6,49.44,20166,848.376666666667,31.5619418498503
"144","2016P12","sales_vol_fchem_na",8349945,2016,12,"0","0","0","1",1,0,8349945,0,"0","[0,0,0]","na",1,14.6,53.72,20166,898.417142857143,26.4650768264249
"145","2017P01","sales_vol_fchem_na",18943300,2017,1,"0","0","0","1",1,0,18943300,0,"0","[0,0,0]","na",1,15.32,52.81,21050,926.8525,17.3312221681596
"146","2017P02","sales_vol_fchem_na",10789809,2017,2,"0","0","0","1",1,0,10789809,0,"0","[0,0,0]","na",1,15.32,54.01,21050,969.751052631579,8.79664196961093
